gender,age,senior_citizen,partner,dependents,number_of_dependents,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,satisfaction_score,cltv,churn_value,churn_label,customer_value_proxy,value_segment,tenure_group,num_additional_services
Female,37,No,Yes,No,0,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Cable,One Year,Yes,Mailed check,65.6,42.39,593.3,0.0,0,381.51,974.81,9,No,16,Yes,No Offer,Yes,2,3,2205,0,Stayed,590.4,Low Value,0-12 Bulan (Baru),3
Male,46,No,No,No,0,Yes,Yes,No,No,No,No,No,Yes,Yes,Cable,Month-to-Month,No,Mailed check,59.9,10.69,542.4,38.33,10,96.21,610.28,9,Yes,10,No,No Offer,No,0,5,5414,0,Stayed,539.1,Low Value,0-12 Bulan (Baru),2
Male,50,No,No,No,0,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,73.9,33.65,280.85,0.0,0,134.6,415.45,4,No,30,Yes,Offer E,No,0,1,4479,1,Churned,295.6,Low Value,0-12 Bulan (Baru),1
Male,78,Yes,Yes,No,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,98.0,27.82,1237.85,0.0,0,361.66,1599.51,13,No,4,Yes,Offer D,Yes,1,1,3714,1,Churned,1274.0,Medium Value,13-48 Bulan (Loyal),4
Female,75,Yes,Yes,No,0,Yes,Yes,No,No,No,Yes,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,83.9,7.38,267.4,0.0,0,22.14,289.54,3,No,11,Yes,No Offer,Yes,3,1,3464,1,Churned,251.70000000000002,Low Value,0-12 Bulan (Baru),2
Female,23,No,No,Yes,3,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Cable,Month-to-Month,Yes,Credit card (automatic),69.4,16.77,571.45,0.0,0,150.93,722.38,9,No,73,Yes,Offer E,No,0,3,5108,0,Stayed,624.6,Low Value,0-12 Bulan (Baru),4
Female,67,Yes,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),109.7,9.96,7904.25,0.0,0,707.16,8611.41,71,No,14,Yes,Offer A,Yes,1,3,5011,0,Stayed,7788.7,High Value,49-72 Bulan (Sangat Loyal),7
Male,52,No,Yes,No,0,Yes,Yes,Yes,No,No,Yes,No,No,No,Fiber Optic,Two Year,Yes,Credit card (automatic),84.65,12.96,5377.8,0.0,20,816.48,6214.28,63,Yes,7,No,Offer B,Yes,8,4,4604,0,Stayed,5332.950000000001,High Value,49-72 Bulan (Sangat Loyal),2
Female,68,Yes,No,No,0,Yes,Yes,Yes,No,No,No,No,No,No,DSL,Two Year,Yes,Electronic check,48.2,10.53,340.35,0.0,0,73.71,414.06,7,No,21,Yes,Offer E,No,0,3,5525,0,Stayed,337.40000000000003,Low Value,0-12 Bulan (Baru),1
Female,43,No,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,Yes,Mailed check,90.45,28.46,5957.9,0.0,0,1849.9,7807.8,65,Yes,14,Yes,No Offer,Yes,3,3,5509,0,Stayed,5879.25,High Value,49-72 Bulan (Sangat Loyal),7
Male,47,No,No,No,0,No,Yes,Yes,No,No,Yes,Yes,No,No,Cable,Two Year,No,Credit card (automatic),45.2,0.0,2460.55,0.0,0,0.0,2460.55,54,No,10,Yes,No Offer,No,0,4,5435,0,Stayed,2440.8,Medium Value,49-72 Bulan (Sangat Loyal),3
Female,25,No,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),116.8,16.01,8456.75,0.0,0,1152.72,9609.47,72,Yes,59,Yes,No Offer,Yes,2,3,6252,0,Stayed,8409.6,High Value,,7
Female,58,No,Yes,No,0,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,68.95,18.65,351.5,0.0,0,93.25,444.75,5,No,10,Yes,No Offer,No,0,3,5536,0,Stayed,344.75,Low Value,0-12 Bulan (Baru),0
Female,32,No,No,No,0,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),101.3,2.25,7261.25,0.0,0,162.0,7423.25,72,Yes,16,Yes,Offer A,No,0,3,5513,0,Stayed,7293.599999999999,High Value,,4
Female,39,No,No,No,0,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Two Year,No,Bank transfer (automatic),45.05,0.0,2560.1,0.0,0,0.0,2560.1,56,No,19,Yes,No Offer,No,0,3,5795,0,Stayed,2522.7999999999997,Medium Value,49-72 Bulan (Sangat Loyal),4
Female,58,No,Yes,Yes,2,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),95.75,27.26,6849.4,0.0,0,1935.46,8784.86,71,Yes,12,Yes,Offer A,Yes,9,5,4865,0,Stayed,6798.25,High Value,49-72 Bulan (Sangat Loyal),4
Female,52,No,Yes,Yes,1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Mailed check,61.25,0.0,1993.2,0.0,0,0.0,1993.2,34,No,20,Yes,No Offer,No,0,4,3607,0,Stayed,2082.5,Medium Value,13-48 Bulan (Loyal),6
Male,79,Yes,No,No,0,Yes,Yes,Yes,No,Yes,No,No,Yes,No,DSL,One Year,No,Credit card (automatic),62.7,10.67,2791.5,0.0,0,480.15,3271.65,45,No,17,Yes,No Offer,No,0,1,2654,1,Churned,2821.5,Medium Value,13-48 Bulan (Loyal),3
Male,67,Yes,No,No,0,No,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Electronic check,25.1,0.0,25.1,0.0,0,0.0,25.1,1,No,9,Yes,No Offer,No,0,3,5437,1,Churned,25.1,Low Value,0-12 Bulan (Baru),0
